"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter"
"1995","1.653","23:c9:ae:6c:08:e3","LE 1M","LE LL","37","246\302\265s","","","","0"
"1996","1.654","23:c9:ae:6c:08:e3","LE 1M","LE LL","37","193\302\265s","","","","0"
"1997","1.655","23:c9:ae:6c:08:e3","LE 1M","LE LL","37","194\302\265s","","","","0"
"1998","1.656","21:7a:9c:33:34:d4","LE 1M","LE LL","37","2452\302\265s","","","","0"
"1999","1.657","21:7a:9c:33:34:d4","LE 1M","LE LL","37","249\302\265s","","","","0"
"2000","1.657","21:7a:9c:33:34:d4","LE 1M","LE LL","37","249\302\265s","","","","0"
"2001","1.658","0e:22:ea:02:0f:bb","LE 1M","LE LL","37","1252\302\265s","","","","0"
"2002","1.659","0e:22:ea:02:0f:bb","LE 1M","LE LL","37","216\302\265s","","","","0"
"2003","1.659","0e:22:ea:02:0f:bb","LE 1M","LE LL","37","194\302\265s","","","","0"
"2004","1.661","01:61:72:42:77:a7","LE 1M","LE LL","37","2201\302\265s","","","","0"
"2005","1.662","01:61:72:42:77:a7","LE 1M","LE LL","37","196\302\265s","","","","0"
"2006","1.663","01:61:72:42:77:a7","LE 1M","LE LL","37","194\302\265s","","","","0"
"2007","1.663","d9:2c:dd:e5:1f:6d","LE 1M","LE LL","14","2876\302\265s","","","","0"
"2008","1.664","d9:2c:dd:e5:1f:6d","LE 1M","LE LL","14","132\302\265s","","","","0"
"2009","1.664","d9:2c:dd:e5:1f:6d","LE 1M","LE LL","14","132\302\265s","","","","0"
"2010","1.665","59:51:34:3a:99:17","LE 1M","LE LL","21","11813\302\265s","","","","0"
"2011","1.665","59:51:34:3a:b9:17","LE 1M","LE LL","21","743\302\265s","","","","0"
"2012","1.666","59:51:34:3a:99:17","LE 1M","LE LL","21","356\302\265s","","","","0"
"2013","1.667","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","582\302\265s","","","","0"
"2014","1.667","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2015","1.668","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2016","1.669","51:48:89:c2:ea:aa","LE 1M","LE LL","37","6426\302\265s","","","","0"
"2017","1.670","51:48:89:c2:ea:aa","LE 1M","LE LL","37","157\302\265s","","","","0"
"2018","1.671","51:48:89:c2:ea:aa","LE 1M","LE LL","37","157\302\265s","","","","0"
"2019","1.672","7c:89:95:02:84:47","LE 1M","LE LL","24","10804\302\265s","","","","0"
"2020","1.673","7c:89:95:02:84:47","LE 1M","LE LL","24","736\302\265s","","","","0"
